result_id,view_id,dcline_id,f_bus,t_bus,br_status,pf,pt,qf,qt,vf,vt,pmin,pmax,qminf,qmaxf,qmint,qmaxt,loss0,loss1,link_type,branch_voltage,cables,frequency,geom
2,3,4657,5448,7186,1,,,,,1,1,,1200,,,,,0,0.000113588,cable,320000,2,0,0105000020E610000001000000010200000036000000715F62878C021D40C96361E355804A40715F62878C021D40C96361E355804A40F1DDE68D93021D4036069D103A804A406D8C4237A0021D40D55A3DCC03804A404171B66FA4021D4014494FECFC7F4A40BC1C1B26BF021D40ED3DA6FFF67F4A40B856201F99031D40A98020E5CC7F4A4067D075864E041D402D6AE67FA87F4A400BC73DA76A041D403611ECAEA27F4A40B38D2E2581041D40073763E2A07F4A4036E3D98AA2041D40E4F0EE6D9F7F4A40D9FD19941F071D4070F7CD588F7F4A40F7B589EEB4081D400FE0E302867F4A40F6B6990AF1081D40ED8502B6837F4A40BE1EA74302091D407DBCEBC7817F4A40EA39330BFE081D4084296FEC7E7F4A4037F1C4628A081D4097F03AD1647F4A404A0D6D0036081D40BE37E1B9527F4A406F81A90B1D081D405579F1344F7F4A40AAE9C42F06081D409740A5A54D7F4A4053B29C84D2071D40C17DD3AA4C7F4A408C46883C93071D40C2DF2F664B7F4A40B9640BF780071D40938FDD054A7F4A402C5D0BC4FC061D406D4A68812C7F4A406B984638D2061D40F4BC6598247F4A40910F7A36AB061D408BEA083B207F4A40FEF8A6446D061D406A9C97D41A7F4A400EB5B7A51F061D401AA2AFC5137F4A40182829B000061D408630C8A7117F4A406D8A11D3CF051D40E00B38F00F7F4A40E464879DCE021D40A25923CCFE7E4A40742F8BE486021D4073F56393FC7E4A40239CBB0276021D40DF0DB3E1FA7E4A40239CBB0276021D404C74F112F77E4A402972D24554021D40681888AFC07E4A402D45F29540021D40CD898741AA7E4A4004FA8E2B3F021D40410F5AB4A57E4A40D50EDA0649021D40192C8B78A17E4A4005018D2D5F021D402D0549449D7E4A4007D7DCD1FF021D406DEDD8637D7E4A408E0CCDD0D3031D4046E7A15B547E4A40A437818EFB031D40B63176C24B7E4A40CE4F166305041D402AA3DB5C467E4A404FD1915CFE031D409E8A0A8B407E4A4087657D14BF031D40101258EF267E4A40CE42F1193F031D4060D7E54AF37D4A40CE42F1193F031D4002C177F6F07D4A40566BBCCF4C031D40DFF0CC15EF7D4A406E6699EA6E031D400A2EFB1AEE7D4A4099B5B9D683061D405646C8E5E47D4A40ED29DE6D83071D409F8E6C53E17D4A4063FB24D291071D400211E2CAD97D4A40A2E3B4F171071D40F2D6F9B7CB7D4A40F6D6A6710E081D40B62017FD957D4A40
2,4,4328,7094,5060,1,,,,,1,1,,1687.500032,,,,,0,0.00685921,cable,450000,2,0,0105000020E61000000100000001020000003E000000A444C3ABCE9A254079A450D5E2F24A4078407EDBB89A25403EE30C0FABF24A405B52A4B1AC9A254022E0B5F061F24A40873D48AA4A9A2540114AA99553F24A40639346167A9A25403BF4273B47F24A40B9AD88F5A19A254087E9D6C633F24A40EC973E2AB49A2540DDB419A721F24A40F7C484E2D89C25401907978E39F24A409B311697F4A1254096F2B5C24FF24A4091781E81E4A2254095B0805369F24A40E26F20C951A52540373EEEB666F24A4002CF071566AB2540223C35F2D4F24A40E6E95C514AAC25409D03BAE5D9F24A40646996BA1AAF25403F4EE2BDB4F24A4055E7ACAAF2B02540AA1C4938E3F24A40201043064DB2254061BE068E15F34A401840F850A2B12540BA579C20A0F34A408572ECEA9FB125403EEFC682C2F34A400ECCC0B79FB22540E4288AA1E6F34A401B9BC2EF4BB62540922D2691D8F34A402DA4B217C0B62540A3F77C83E5F34A40595CD20781B72540DF99BFF858F44A40FCC7427408B8254003C4133070F44A40EB8EC536A9BC2540E37E7676E8F44A406E2EA3FDB4BE25403E02243F87F54A4031478FDFDBC025405A6D5919E8F54A40F4E56091BAC42540DB6D179AEBF74A4074524E6A1ECE2540901C44C6FEF94A40853B61D394CE25400846B98F37FA4A40C20F1835A9CE25402892F9916CFA4A40B887CE7C18DB254087C1A15CBFFC4A405374C9DD8CF72540ECA9D55757FF4A406CD097DEFE0C2640C2BE428B11014B40A9AF9DDE7B2626408352B4722F024B405636621C12412640D6462BAD75024B405CF635DC915B264045B1266085024B4004C2983E85712640910CDEFC2B014B400AE93A9EE088264033DEFBC0FAFE4A4077C6527F18BC2640220038F6ECFF4A40CC61F71DC3CB2640B40EA2105C024B40C440D7BE80E626407D85BB69E9034B4046B9347EE1012740503D2D9A29084B4043B8B87CDA1727406D150ECEF10C4B4074EE76BD34412740219EDB3AEE104B4011C41E7F0E5C274029B7ED7BD4144B40CBFA287EE7822740372BECB314154B406E5512D907A52740E9D7D64FFF174B405BFDC7F8E6D527403E0AD7A370254B40E5558CA9AA2A284070F48CD882254B40C7191E56136F284012667F4523314B40EABFBD21438528404E710B4C5D364B405AB44AFAC5B22840B38EF4B3A2414B40C01AB1602C392940955286600B564B408310DABCBB7B294031EB6A97DB7F4B40DBC765378E8329403BC20E0819824B409D741195FC8229400C20216F5E854B40CF5EC7C90E9329404AE0C5B1E48F4B4070F48CD882CD29404B2943B005934B406D1915DD1F042A405E8E0D935FA44B40FF052747A6042A409A3F4BFCF6B04B404C93AD8960072A40DBBD816ED4B14B404C93AD8960072A40DBBD816ED4B14B40
2,5,8674,7263,5294,1,,,,,1,1,,1124.999936,,,,,0,0.00782031,cable,300000,2,0,0105000020E6100000040000000102000000350000005A15E126A32A1D40CEDB7D33D6A74A401800F4458C281D4051662893BFA74A40572F1A8DD7271D40ADD96F928BA74A40B09E49511D211D40660811BA95A64A402AF345312F1E1D4067440EB67DA64A404BF9FF27351A1D40FB4910093AA54A402788BA0F40121D407E0ADBAA7FA44A40C462D4B5F6061D40E9EF4A372EA44A40B6D9FDCF06051D40F115DD7A4DA24A4000A8870DBB041D406C894B44AEA04A4097ADF54542FB1C406C41EF8D219F4A40D88BFC55DBF01C4078723C55749D4A408D4AEA0434E91C4002502047CE9C4A4047109D54EAE01C401876BDD98B9C4A4072EAB93B21EA1C40370AFFD8DA9A4A40E7A26B706CE71C40E4EB7C89C29A4A408671DCCE63E91C409E03159F4C9A4A408B88073994F61C40C0BA8509FE984A4011340B5982F91C406C7A50508A984A407ACE71C9CCF81C40360296010C974A40288BB10232FA1C408B54185B08974A404ADD8431D8FB1C40352DB1321A974A401608F13790FC1C40A14B38F416974A40CB1649BBD1FF1C409C278D87AD964A404770C8AB18031D40D00C874AC8964A403C623E6A5D041D40CBBF9657AE964A4061996D5D200F1D40406CE9D154954A40B6C189E8D7161D40283E88AE55944A40823749980E1A1D408D83A6800F944A4043D8DFC8F21C1D40D397EF2AB5934A40F81109F0271C1D40AD3594DA8B934A4029E6C52EF61B1D4047729E5676934A402857676B331C1D4092BAF83658934A40341A5476551B1D40EC79ED88F9924A4023742BDF8E1B1D409D853DEDF0924A403F271829EF261D406EEAF29CE3924A4024E0C61CBA271D4065A07C8B98924A401F6F4D15E72B1D40BAEF62AB15924A40C1649934FC2D1D40D1BCD2E8C4914A40E773EE76BD2C1D40736D03D259914A4025E99AC937331D40345651723D914A4001440B1A44351D402D5B90D211914A40BFC92544AF351D40DC76908DF6904A40C058840772351D40BB922E47D9904A4039D55A9885361D405F0F26C5C7904A40DF0841FD1D381D400BC09A5EBD904A4038B81913073D1D40C9D8BFA1A6904A402FA4688AA53D1D401207BFC3A3904A40D878FA52893C1D40CA16EE015F904A40699489B6BE3B1D401CBEE02E56904A40DA9B734B063B1D403C47890222904A40294696CCB13C1D40C451A85D02904A40E10EC4C4D53E1D4032D0841E19904A4001020000000F000000FD5D8E0D931F1D40733A7FC97CD54A40400CBE7A261D1D4040AABC789ADA4A4012667F45231C1D40B164D87278DB4A40CCE957DF651B1D40070E68E90ADC4A4046FDE4DEB2191D404DA1986148DC4A40BD1B0B0A83121D409156C6D0FBDC4A40BE3F941E3CC11C40BC58BD6834E64A40DD700E8DDD541C402795DF5806E94A40F2FFF4B0611F1C40171A3ED818F54A407678639C1A031C404A61DEE34CFB4A40A7D4809C8B4A1B40834EAD6301054B405D887A66EEA61A40CA518028980D4B4081B971E6B2CC1940E52D573F36184B40A1890B9B5CD71840AF505A6E1F244B401FD55526A1191840362CFCCF502D4B400102000000030000002E3D9AEAC9341D40D8344AF2B7A94A40E3303D06D02C1D40E40D7A8038A84A405A15E126A32A1D40CEDB7D33D6A74A40010200000074000000FD5D8E0D931F1D40733A7FC97CD54A4041CBA953D41F1D40DBEA28BD25D54A40E7DE686C541C1D406D2A413514D54A40964D6F35A11F1D4074EE76BD34D44A406100E143891E1D4005453D8E30D44A404437FB03E51E1D408DA08C4C1BD44A405CA736DD571A1D400EA661F888D24A40BC41B456B4191D4006B75ACC74D24A4028BB99D18F161D409FF9E64878D24A40711FB935E9161D40B537F8C264D24A40E3AD4E290A171D401B25F95B4CD24A40B8F182E38D171D40BD5BB45B26D24A407908E3A771171D40BBFA0C03F1D14A401FFEF565C4181D40BEAD4F94DFD14A40CF6E884C541A1D40556A9B87B8D14A4099373DDE9A1A1D407CC7DFAC77D14A4094139271311B1D40E2F31EC253D14A40AB9BE678601B1D4083D8E3CF01D14A405A74A1A8221B1D40B31C322FD1D04A401397885C151D1D40C68D5BCCCFCF4A4064E4D132F71D1D400DF49A68A1CF4A40401C7FFD6B1C1D40B4452D2867CF4A402EB8D562A61B1D406BCC35165ECF4A407D8967BFA4171D40C1368710FCCE4A40481B47ACC5171D407703BB50AFCE4A40DCB7FF6DBB151D406C894B44AECE4A40D131D6EDA2161D402B8FC93DB8CD4A4099F738D384151D40FDE88A08B5CD4A40AD4F39268B131D40B17BE184F8CC4A40D2F2F22A21161D401980FC5BB8CC4A409283C8D8BF191D40C1E44691B5CC4A4087B7BD93051A1D40156F096586CC4A405C6ACE0BC11B1D40DE60037D7DCC4A40AA1E1FE3401E1D40B7C480DBC9CA4A4020436C55B71F1D40EEA06D90A4C94A401BEC9799E31E1D40930F30A990C94A4047D15ED8F51E1D408C2E145564C94A40F4BC659824201D4078C949720AC94A40FEE8E5C1271F1D408E316601C9C84A4075DF7BC910211D40A6BC564277C84A40404C67CCC9201D4036745886DDC74A40022CF2EB87201D400A72AB7BBFC74A40F0C74851C21F1D405BC86D45ACC74A40D5E132B8F7221D40A5726E6EA7C64A4077DEC66647221D40DFB76B5386C64A40BC1C1B26BF221D40E1EAA5CE48C64A4039A6DD9ED6231D40D42934B511C64A40CE8DE9094B241D40C35C9C42F8C54A4067B4FA8FF1251D40D68E876302C64A406F36B11B11271D405EBEF561BDC54A401C15EE4BEC281D40E73FFF9831C54A408B0A8B40AB2A1D40FD8A355CE4C44A4025BCF37AE62B1D4028C984A977C44A4057911B8F632D1D402621EC6F64C44A40D9B38C79C22F1D40329B5B7C65C44A40A0EAEB5454301D408E9E115B30C44A40354580D3BB301D40ACBB687EEBC34A40A43A1DC87A321D40BD772F5283C34A4029F686B13B331D40454882154CC34A4068DF26ED57331D4015048F6FEFC24A4056DB4DF04D331D409932CBF9BDC24A4040C05AB56B321D40A7D5EB713AC24A409D3FB7E1C1301D400AA1832EE1C14A40226FB9FAB1391D40C2830B1E4BC14A40B6F5D37FD63C1D40C7D3974AE4C04A40959EE925C6421D40A3320FAA1EC04A40286728EE78431D406B11514CDEBF4A40975CC5E237451D4060D85020A2BF4A4055E1CFF066451D4029113C1977BF4A4009D858D306411D402DCF280241BF4A401FD2B9EC213B1D40C0CEF2E1FEBE4A404BC8AC83283C1D40D609C3DBDEBE4A40EC9B4539E23A1D405EDE1CAED5BE4A40A6CEED6F1A3C1D404BA5E9FD90BE4A40F3412A2048411D40E0F4D3241DBD4A40AF580DD3083F1D40ACA289C10DBD4A40D2E5CDE15A3D1D4053EC681CEABC4A401F786B4F7F3C1D404B00A370E2BC4A406EF310D77B3B1D4092239D8191BC4A4083925DC4D23B1D4064BC9CC882BC4A409DD77D6C373E1D4010559D7A49BC4A40259A40118B401D4054BF1C870BBC4A403B3F202B533F1D405730E01BF9BB4A409CD0DA238A471D409FCC3FFA26BB4A405640EB2B594F1D4071896D9C5EBA4A40B3F96EA9394F1D40F50E5C8A50BA4A40BDA9EDCB3E541D409258F734CCB94A40C7E3FD13B7551D4073D9E89C9FB94A40BF7A264575541D402DF98ED085B94A40D83B9281F2551D4067ED5B525AB94A40F3A7D7778F551D409F1A796A3FB94A40DD88DD2D7F541D40B6920CEF28B94A40200DA7CCCD571D40B36FDD83C6B84A40D0BD874B8E5B1D40E8ED19D35DB84A4030151BF33A5A1D4022A6E9584AB84A408A5B0531D05D1D401033EA10EEB74A40892E03290C5D1D404F8E4CD1DBB74A4083B34A9F0C641D40CA022670EBB64A405B7C0A80F16C1D401F49EE55D0B54A4006ECB47FAF6A1D40688D8BB49EB54A40C7F4296CAB661D403F16478A6DB54A4077DF313CF6631D406E73BE3335B54A40CCE31F6C675E1D40BF71080BDDB44A405B22BCE24E561D40DC12B9E00CB44A404A0966F107501D40C6782865ADB34A40B98729368B4C1D407D3FDAA447B34A40391C4C79634F1D409AB67F65A5B24A40CAAC399BE9511D404F3FA88B14B24A40A39E99BBF1511D40C0023D79FDB14A4025404D2D5B531D402C4597DCCDB14A40CBE660EC73531D409530D3F6AFB14A4001E54A98C4541D40D3D7987C58B14A400E6B2A8BC2561D408A4D75125BB14A401A76734C71581D40189EF24300B14A403FB03E79B3591D40753689E6A6B04A402E3D9AEAC9341D40D8344AF2B7A94A40
2,6,8686,7263,5314,1,,,,,1,1,,1124.999936,,,,,0,0.00781815,cable,300000,2,0,0105000020E610000004000000010200000034000000E10EC4C4D53E1D4032D0841E19904A40C255F9F94A3B1D4033CDCF6806904A40949FF941023B1D40DD103EEF21904A40A926778EB73B1D404BFAC5B656904A405EB7ADD2823C1D4047F01A4F5F904A40A80B0CB4963D1D404EAFDEF2A2904A40FBEF1C250A381D40CA8E8D40BC904A40D470804F62361D4029CE5147C7904A403ED00A0C59351D40C12154A9D9904A408DB7955E9B351D405E4F745DF8904A40E96514CB2D351D402D41EB8612914A4080EFDBB529331D401DD2037A3C914A40B4B112F3AC2C1D406278DB3B59914A40210B2CDBE22D1D40E9B6E974C5914A40F38986D6D42B1D4079A4B04115924A4067B56565A0271D40A08A1BB798924A40B54E01D5E4261D40EC6D3315E2924A400A23AC7C851B1D40A9A9C024F0924A4080B9162D401B1D40F855B950F9924A402EDAD2591C1C1D405C17C8FD58934A40B6543948E31B1D40C44BCBA376934A4041E1A249181C1D4029DB76908D934A40F1243328E41C1D404BFC9B61B4934A4045C82F72051A1D40A59762580F944A403FD065C5CB161D40C33060C955944A40E16D94AB0E0F1D405838EE3955954A406843FE9941041D408FBB52E0AE964A400CCEE0EF17031D408F098C50C7964A409801C2E2CBFF1C40D873886EAC964A40CB3159DC7FFC1C40785CF9D115974A4003A150AAD8FB1C409BE4EC4218974A4013471E882CFA1C40B0D40EDA06974A40AD5681B5C5F81C40AE80E7830A974A400BE35DE454F91C40D88C672B8A984A40437E912B50F61C40CB00AB7E00994A4081400C1934E91C402D06B4194C9A4A404F7CB5A338E71C408AE2FA1CC49A4A40286AC427F8E91C408AC0A26CDB9A4A40ACFCD75EB0E01C40E2009FC48C9C4A408C46E3F505E91C40EF682D16D09C4A40B9605FA1C5F01C40D59C1782779D4A40B55DFCC808FB1C4012A8FE41249F4A40A203DC3D8A041D405FD5592DB0A04A408BF72D84E6041D401448E4164EA24A401C423AE1CA061D40F44F15F82FA44A403628F5C022121D407CFE6AC482A44A403E0801F9121A1D402A3E3E213BA54A40FB93F8DC091E1D4035C86EB081A64A4046BAFA0C03211D407D6C81F398A64A40D7B09586D0271D403605323B8BA74A4024EDEB6580281D40F1153834C0A74A40A93121E6922A1D40B0D63F3ED7A74A400102000000090000002125766D6F1F1D4067BAD7497DD54A40892F6EFEBA1E1D406F85B01A4BD64A40329B5B7C65191D40C3A3E8DC48DC4A407595EEAEB3111D408A288128F3DC4A40A363624E2BC01C40258CB0F215E64A40CB8FAE8850531C401D4938E3EAE84A4058A604696B011C40E307420D3AFB4A40614A6E5EE6A51A40FA89B95ADD0D4B4078483140A2191840B6A2CD716E2D4B40010200000003000000A93121E6922A1D40B0D63F3ED7A74A408656CCADB52C1D400197B66E39A84A40420A9E42AE341D408A35A671B9A94A400102000000750000002125766D6F1F1D4067BAD7497DD54A4070B9556BBC1F1D400AC5B18927D54A40ABE2D7593E1C1D4073439D0315D54A405A51DE228B1F1D40E547FC8A35D44A40CC000638731E1D400B5E995C31D44A40AE3720F8CE1E1D40FEF9111A1CD44A4020ABA5CA411A1D407EFFE6C589D24A402742D94A9E191D400CD0B69A75D24A4093BBBEC579161D40A512431779D24A40DC1FDE29D3161D40BB50549165D24A40A7B1BD16F4161D40203E552A4DD24A407CF5F1D077171D402EB5392927D24A403D0C52955B171D40C01369D1F1D14A40E3016553AE181D40C3C6AB62E0D14A403A6FAD403E1A1D405A83F755B9D14A40043862D2841A1D4081E03B7B78D14A405817015F1B1B1D40E70C7B9054D14A40169C0B6D4A1B1D4088F13F9E02D14A401E7810960C1B1D40B9358EFDD1D04A40D79AF749FF1C1D40CBA6B79AD0CF4A4028E84020E11D1D40130DF736A2CF4A400420EEEA551C1D40B95E89F667CF4A40F2BB4450901B1D4071E591E45ECF4A40408DD6AC8E171D40C74FE3DEFCCE4A400C1FB699AF171D407D1C171FB0CE4A4047B82462A5151D4071A2A712AFCE4A40953545DB8C161D4031A8250CB9CD4A405DFBA7C06E151D400302E7D6B5CD4A407153A81375131D40B6943D53F9CC4A403CF3171F0B161D401F99582AB9CC4A40568737C6A9191D40C7FDA25FB6CC4A40F1B7E287EF191D401B88653387CC4A40206E3DF9AA1B1D40E4795F4B7ECC4A40141F44D72A1E1D40BDDDDCA9CACA4A40E446DB42A11F1D408879A05FA5C94A4085ECBC8DCD1E1D4098288C7791C94A40B2D183CCDF1E1D409147702365C94A40B8C0D4850E201D407EE2A5400BC94A4069E90AB6111F1D40934AC2CFC9C84A40DFDFA0BDFA201D404095891178C84A400450D6B9B3201D403B8DB454DEC74A406D2C17E071201D400F8B074AC0C74A405BC86D45AC1F1D4060E1C913ADC74A4099E5A1A5E1221D40AA8BCA3CA8C64A403BE2355431221D40E5D0C72187C64A40271D401AA9221D40E703029D49C64A40DB649EA6E0221D40E6FA88A93EC64A40FDA94C8CC0231D406E02678412C64A40398E0EFE34241D40C875F810F9C54A402BB8697DDB251D407067BA3203C64A40D936D60FFB261D4064D75130BEC54A40E0185D39D6281D40ED585B6732C54A404F0EFA2D952A1D4002A4912AE5C44A40E9BF6268D02B1D402EE2E07778C44A40C19140834D2D1D402C3A483E65C44A4043B4B16DAC2F1D4037B4B74A66C44A4064EE5A423E301D4094B76D2931C44A40A045A5C7A5301D40B1D4C44CECC34A400E3B42BC64321D40C3908B2084C34A40EDF9F59E25331D40DF20B5E44CC34A402CE395DA41331D40AFDCC13EF0C24A401ADFBCDD37331D40340BFEC8BEC24A40ABC07FA955321D40ADEE47403BC24A40614326CFAB301D40A579B6FDE1C14A408D6FDEEE9B391D40C89C67EC4BC14A4021F6F873C03C1D4062ACCA19E5C04A40009F0E1AB0421D403E0B42791FC04A4092674DE262431D4005EA831BDFBF4A40015DEAD621451D40FBB083EFA2BF4A4019E53EDE50451D402E2A98E777BF4A4073D87DC7F0401D40C7A75BD141BF4A4089D2DEE00B3B1D40C5E74EB0FFBE4A400FCC1B71123C1D40DB221FAADFBE4A40579C6A2DCC3A1D4063F7787CD6BE4A4069D25C5D043C1D40E67D1CCD91BE4A405E424F1432411D40E50D30F31DBD4A40725C7CC0F23E1D40467BBC900EBD4A403DE6F2D5443D1D40EDC49BEBEABC4A4089789043693C1D40E6D8D53FE3BC4A4032F77FC4653B1D402DFCCF5092BC4A404796CCB1BC3B1D40FF94CF9783BC4A4061DBEC59213E1D40AB2DD0494ABC4A408F9A650575401D40EE974F560CBC4A40FF428F183D3F1D40F20813EBF9BB4A4007D1FF1774471D403AA572C927BB4A40C0401020434F1D400B62A06B5FBA4A401EFA939D234F1D408FE78E5951BA4A4027AA12C028541D402C312A04CDB94A4031E42208A1551D400EB21B6CA0B94A40827E95325F541D40C7D1C19F86B94A409C3F016FDC551D4001C68E215BB94A405DA8FC6B79551D4039F3AB3940B94A40A18C4C1B69541D40506B3FBE29B94A40E41016BAB7571D404D481053C7B84A403ABEAC3F785B1D4083C64CA25EB84A409A1540E7245A1D40BC7E1C284BB84A40F55B2A25BA5D1D40AA0B1DE0EEB74A404D327216F65C1D40E9667FA0DCB74A4047B7B98CF6631D4064DB583FECB64A401F80796DDB6C1D40B9212125D1B54A4071ECD973996A1D400266BE839FB54A4031F54E6095661D40DAEE79596EB54A40E1DF5630E0631D40094CF10236B54A408FE78E59515E1D40594A3BDADDB44A401F262BD038561D400BABC2B00DB44A40B4098BE5F14F1D4060515B34AEB34A4024884E2A754C1D4017180D7448B34A40A31C716D4D4F1D40348FB234A6B24A408EB0A888D3511D40EA17DB5A15B24A400D9FBEAFDB511D405BDB6F48FEB14A40E943BC1A45531D40C61DCAABCEB14A4036E785E05D531D40C4C8DCC6B0B14A406CE56F8CAE541D406EB0CB4B59B14A40796B4F7FAC561D402526A8E15BB14A40DE79E2395B581D40B376251301B14A40AAB0636D9D591D40100FBCB5A7B04A40420A9E42AE341D408A35A671B9A94A40
2,7,8850,5614,7179,1,,,,,1,1,,1200,,,,,0,0.0076925,cable,320000,2,0,0105000020E610000002000000010200000027000000BB169FDC4B782240A84AC13A5BF54A40F1C979B592782240C95EEFFE78F54A40D17D946CD0FA2140183037CE5C0D4B4030568AD3FFF821406E252A0AAA0D4B40B4CE53782BF62140A03E5D386B0E4B405BFE8D8708F5214097FECAEFD90E4B40B189CC5CE0F221406FF59CF4BE0F4B40E757738060EE2140C5B766E1A1114B40DBA1067877ED2140A878B70DFE114B40FF68EED753ED2140FBB7263850124B4020C720C19EEC2140868549A764124B40F1D8CF6229EA21403B8D599B6B124B4090A6D5EB71E6214061BA5A385A124B40EC037FAE6CE52140CDF2D0D270124B40F44AA31353E32140ECFA05BB61124B4046FF154383E22140E3B2655474124B40352BDB87BCE12140828A4FA676124B407EA2FCEE67DE214089C8FA1752124B4038A1100187DC214091589C7B59124B4056E01A8E9DD62140562FBFD364124B40D0C18E5ABCD321400C3ECDC98B124B408C5132946ED221406D5E3013A0124B4070743A353CD22140144ABAC1AB124B40E6EECE3527D221401BC3F759C0124B40FA2180E552CE214028DFC72CD6124B40EA3EA5EFDACA21403F41BD74EE124B40905DB3A6C3C821402A594E42E9124B404268F3EE7EC32140CF3461FBC9124B4042F2295B7FC2214070D63B37C8124B40E06B63473EC221401E15A4BED1124B40B9793E5EA3C02140708E84C7C8124B40AD133C2AA3BE2140C425C79DD2124B4030551FFE50BB21402396DE48EA124B40921447D4FAB921403555415601134B407DF376DF8CB121403D3BCF8E0A134B40D527B9C326AE2140333A2009FB124B40547CD7FBE8AB21401E9727C6E8124B40804523449EA92140AC22371EC7124B40B0D5D46828A821408CAF2C87CC124B4001020000002E000000B0D5D46828A821408CAF2C87CC124B4078FF0EFBF3A721408CAF2C87CC124B40A3B437F8C2A421404C0B4DC8BD124B40AB6C697FB1A421401D171FB0BC124B40F9C264AA60A42140E8AD7081BA124B40222B099AE08121407B62E7B7F9114B400000000000802140CD0F1258EF114B404EFFA380FE6821403A4F86F425124B4032DA99F8595F214031C5669137134B40716B1CFBA35521406619E25817134B40B6E7E8A7EE442140850D4FAF94114B407CF2B0506B2A2140436A24534F114B408470BB86CFF020402506819543134B40B7627FD93DE920404950FC1873134B404BBCF20F11E1204051AEDF02BF134B40B7F3FDD478D920400ACD64EE10144B40FF4F0F1B76D52040ED7200B331144B40F079B42737C420403DE98E0FC4144B4044EED8BE36A520402627C929F01B4B40FE37E5C0619C20407B62E7B7F91D4B400EBE30992A98204032A3699AC11E4B4039454772F97F2040665C27E439244B40854EBE8F59502040D83E2EBB71294B404DB21F73AF09204016CF8F7527314B407F6ABC7493082040304CA60A46314B402F5B4645F7FF1F40F31FD26F5F334B40A62C431CEBC21F40FC0E3455E63B4B40CD70A884CC421F40A7A503A3DC4C4B4059DD8F8076F41E40CF88D2DEE0534B40AC9A7BA3B1E91E409219B9B8D7544B40F537FCC973901E40153FC6DCB55C4B4073C4B5357D691E40100BB5A6795F4B40273108AC1C5A1E40E535655D92604B405826570CB2381E40FAA067B3EA634B40FE309D31271B1E401184752D6B654B40048B68E0ECE31D409F5E29CB10674B402B1895D409881D4008FA55CA7C6A4B4090D552E520751D40B7627FD93D6D4B4034FED87FF86C1D40053411363C714B40CFBD2C921B521D40C8FDFD1829754B40D790138145511D40E27A14AE47754B4058B7D507ED481D40E440594288764B403B5D71CC0D391D40C9DB0022B3784B40AC9A7BA3B1091D403580B740827E4B40AC787EAC3B091D404950FC18737F4B4083E2C798BBF61C40C8BAB88D06884B40
