result_id,view_id,osm_id,voltage,s_long,name,geom,center_geom
2,2239,232833796,,520000000,,0103000020E610000001000000080000004865D4C6229B2740652B1ECD473A484046FD3F98259B2740143F6B23433A484019DFBCDD379B274097091A8E423A484001E8E6D1439B2740BA0D0F06433A484041272955479B27400DAA0D4E443A4840C0401020439B27404C87F315493A48404865D4C6229B2740652B1ECD473A48404865D4C6229B2740652B1ECD473A4840,0101000020E6100000A72A6B7D359B274012D5BCAB453A4840
2,2261,23067006,380000;110000,3580000000,Station Hüllen,0103000020E61000000100000009000000E0C38080107C1C404A360D4059C34940BC44509033801C40DD73AAC65CC3494033C3EB9F4C801C405C4A4C0636C34940552CC8E0727E1C40161A886533C34940FFBC5FBB6A7C1C4017F8E52730C349405B153CE0157C1C4033F735374BC3494099874CF9107C1C40F1941F0258C34940E0C38080107C1C404A360D4059C34940E0C38080107C1C404A360D4059C34940,0101000020E6100000FD433555327E1C40E82FCD4247C34940
2,2241,11285720,380000;110000,8950000000,Umspannwerk Hamburg/Süd,0103000020E6100000010000000B0000008995760F75D023405BEB30CB43BE4A4028E1F890A6D02340A832D6485CBE4A402422A1D22DD023406FBF7CB262BE4A40EC3B1AE2B3D02340DEB7B5E0A0BE4A406E63FDB0EFD0234000A8870DBBBE4A40CE565EF23FD123401AE25817B7BE4A400924175234D123409486BFCBB1BE4A40F84A6AB290D22340F0E0270EA0BE4A40D510B0B1A6D12340F1F5B52E35BE4A408995760F75D023405BEB30CB43BE4A408995760F75D023405BEB30CB43BE4A40,0101000020E61000004684547854D12340A21BCE4F78BE4A40
2,2242,18629425,380000;220000;110000,12820000000,Umspannwerk Oberbachern,0103000020E61000000100000018000000AAB3FFA61CBC2640BEFD14223B254840D3D3916D2ABC26404169A85148254840B5F4B23742BC2640A96917D34C25484001CE418644BC26402C42FBA24E254840D71E51FC73BC264071F783CB74254840264BF78436BE264050A912656F254840E9EAD85251BE2640602D2DD967254840AB741CE49ABF2640CEAD105663254840087360DE88BF2640C24C800640254840992B836A83BF2640F2A8424D3E25484004498E2A79BF26408D3FF61F3E254840E909F0822DBF26406935C9343F254840C4AE923424BF2640EB0DAD04412548402BB4BD2720BF2640CDC6EF1241254840E6B7431E1CBF26401BC05B2041254840D970A2A712BF26405782209B3F25484053657330F6BD26408A41BB9E43254840B328ECA2E8BD26400A21D6D12725484033D2414DE3BD2640DB88CC0127254840612D8892DABD264099993EE02625484084F4143944BC264037EFEEB72C2548406779C3222BBC26401768774831254840AAB3FFA61CBC2640BEFD14223B254840AAB3FFA61CBC2640BEFD14223B254840,0101000020E61000000AB8B584A8BD2640151F509E4F254840
2,2243,20562114,380000;110000,3580000000,Umspannwerk Malchow,0103000020E6100000010000000B0000005CF745F8CDFB2A404817409D974B4A40E5EA6C6D86FC2A4044BAE9E0AA4B4A40B97768B345FD2A407057F9AFBD4B4A402F68C64730FE2A406B51FA9D814B4A40AEF36F97FDFE2A403CD5C67D504B4A4085364AA82AFE2A40B0B6BD384C4B4A408F441E7700FE2A40CE902A8A574B4A40E1325D3E48FD2A4071975874464B4A4068EF8CB62AFD2A4006E165E1464B4A405CF745F8CDFB2A404817409D974B4A405CF745F8CDFB2A404817409D974B4A40,0101000020E6100000D333F6A151FD2A40AA74CC667D4B4A40
2,2244,22690852,220000;110000,1040000000,Bocklemünd,0103000020E6100000010000000D0000005D1E6B4606691B40AD9E3825C57D49405E90E33DBD681B404C70EA03C97D494091DECBD82B671B405FD9603CDE7D494091EA854C43661B405F807D74EA7D494008B6A569AB651B409161BAB5F17D4940C07EE3C688671B4008B941A32A7E4940594EE72F99671B40F134F4AA297E4940B2EF2F270D6A1B402D5217DF067E49408789AB6F05691B406108EF61E57D4940297E8CB96B691B4060D61FBCD17D4940BF4692205C691B40554843D7CF7D49405D1E6B4606691B40AD9E3825C57D49405D1E6B4606691B40AD9E3825C57D4940,0101000020E610000076369DCAF7671B4035DF6F4CF97D4940
2,2245,22720647,380000;220000;110000,7680000000,Umspannwerk Hamburg-Nord,0103000020E610000001000000110000002010E84CDAF82340DC7F098101DF4A408175C185E1F823407716BD5301DF4A4005D957C3EAF8234006476EF200DF4A40DB8AFD65F7F823402A09E46D00DF4A4016FE0C6FD6F82340A47CF77DEEDE4A406D0377A04EF92340EA471EE3E5DE4A409486BFCBB1F923400C934EC9DEDE4A40FC581C29B6F9234054D27943D0DE4A40AB3BBB2132F9234008454EBA88DE4A407636E49F19F82340DFA63FFB91DE4A40C908032A77F62340A7E03A10A3DE4A408A01B7932DF723407597C45911DF4A400A6B63EC84F723400ECAEA0C42DF4A40D57ABFD18EF72340F1F8F6AE41DF4A40BC6070CD1DF92340FE1F71D932DF4A402010E84CDAF82340DC7F098101DF4A402010E84CDAF82340DC7F098101DF4A40,0101000020E6100000A43FE0C91EF82340F83E914EDDDE4A40
2,2246,22761692,220000;110000,1040000000,UW Fühlingen,0103000020E6100000010000000B0000007BC6191E56BB1B40E5F791B64C8449405CC98E8D40BC1B4052E5C5D33C844940B7FC76C883BB1B403EB896242A8449401468661CD9BB1B401DE0EE5124844940B6F5D37FD6BC1B4085B4C6A013844940333DBC427ABD1B40E385BE0523844940A3E7BB00A0BF1B40CE7CBDB15684494083386AE0A2BE1B400C7151D268844940F36D0BE077BD1B402597FF907E8449407BC6191E56BB1B40E5F791B64C8449407BC6191E56BB1B40E5F791B64C844940,0101000020E61000004B3A017953BD1B40FC71E6754A844940
2,2247,22761839,380000;220000;110000,15940000000,Station Opladen,0103000020E6100000010000001A0000006DCB80B394DC1B40BE9069C8D3884940BAFAB1497EDC1B40F539D274D18849400EB44CD070DC1B40496C770FD088494025EEB1F4A1DB1B403E8276E2CD8849401750036102DA1B404A134ABAC1884940793B67B04EDA1B40FD023054B4884940D07E49CF99D91B400E17B9A7AB884940504FC4C7CCDA1B4008E9297288884940FB6074D42CDB1B40238B8FAA818849404D60843AF6DD1B40994EEB36A8884940779E1D15A4DE1B4015724AE592884940EB4F87BAB4DE1B401458A599938849406F3AB82A3FDF1B40C4EA347799884940E215D22BAFDE1B40C7980524AB884940D089986D02DF1B402E967DB2BD884940B5AE2C2C13E11B4068AE788FD8884940EC32FCA71BE01B40A2E018B8F28849400DCBFA287EDF1B406B5C493CEA8849402A1F82AAD1DB1B40B5B574BB4D8949407FDBB86A43DA1B40F54A5986388949405E43BAE9E0DA1B4006A458C922894940A6EA686677DA1B40C29371E71D8949405DC823B891DA1B40CBB040AA178949400FCBB09B63DA1B40E9CF23EB158949406DCB80B394DC1B40BE9069C8D38849406DCB80B394DC1B40BE9069C8D3884940,0101000020E610000098E01A64DCDC1B40F02AEFC9DF884940
2,2248,22764922,220000;110000,1040000000,Station Dhünnaue,0103000020E610000001000000070000001AF1AEC44DE71B40E4AF7F8DDA8449404ACB924AC2E71B408DD24AC6D6844940ADCDB51E74E71B40B8B64B76C78449403AE576D43DE71B40E2218C9FC684494084239232F3E61B409A3B44EDC88449401AF1AEC44DE71B40E4AF7F8DDA8449401AF1AEC44DE71B40E4AF7F8DDA844940,0101000020E6100000DB14ACDF5AE71B407782FF19D0844940
