result_id,view_id,object_type,line_id,relation_id,way,voltage,cables,wires,frequency,problem
1,8167,power_line,{56464144},,0105000020E610000001000000010200000002000000B0B893E3A9BA1A407CB2AC4555AA4940407C4F9B27BD1A408D497F2F85AA4940,,,,,NULL_voltage
1,8168,power_line,{119180444},,0105000020E610000001000000010200000002000000D9D53FE31D1321406BF9DC64AFCD484003EFE4D363132140C0852B56C3CD4840,,,,,NULL_voltage
1,8169,power_line,{119180445},,0105000020E61000000100000001020000000200000003EFE4D363132140C0852B56C3CD4840F0C341429413214090183DB7D0CD4840,,,,,NULL_voltage
1,8170,power_line,{335908836},,0105000020E610000001000000010200000002000000ACA0B316B0E61A402E3E05C078804940E5D9E55B1FE61A40CFB0074955804940,,,,,NULL_voltage
1,8171,power_line,{118896216},,0105000020E610000001000000010200000002000000B535221807BB2040D80A3FDDE5D54940BA1A344F09BB20406A673D21E0D54940,,,,,NULL_voltage
1,8172,power_line,{288208607},,0105000020E610000001000000010200000003000000264DCD2F946D214075971F1384C84940D18140C28B6D2140C64BDCCFCEC8494076E09C11A56D2140B2930BDF0CC94940,,,,,NULL_voltage
1,8173,power_line,{310471608},,0105000020E61000000100000001020000000200000049298D3D200D21409C3347FBC41C4A40E54C6E6F120E21407F3672DD941C4A40,,,,,NULL_voltage
1,8174,power_line,{314767923},,0105000020E6100000010000000102000000020000008E5E68098D8B21401B796A3F632949407A26EABB118C21404137EAD78C294940,,,,,NULL_voltage
1,8175,power_line,{28450716},,0105000020E610000001000000010200000002000000821C397760D5214029F4554D6B734840511C9B7862D52140814D8C1B6D734840,,,,,NULL_voltage
1,8176,power_line,{29470637},,0105000020E61000000100000001020000000200000028E66A7583321C40D8CFACB6ACDB4940EC713A2410321C40528EB8B6A6DB4940,,,,,NULL_voltage
1,8177,power_line,{59743262},,0105000020E6100000010000000102000000020000004F9BCCD314402440546C1679A3CA4A400F14D3E0114024409215B2A9A9CA4A40,,,,,NULL_voltage
1,8178,power_line,{136659258},,0105000020E6100000010000000102000000020000006B03C12D69F2234023AFBD05C8E74840EF377FB850F22340B5C304DAC2E74840,,,,,NULL_voltage
1,8179,power_line,{39166944},,0105000020E610000001000000010200000002000000DB954C0460BA274045E68013C02949404112F6ED24BA2740ADE86A86AF294940,,,,,NULL_voltage
1,8180,power_line,{35171952},,0105000020E610000001000000010200000002000000F896CD774B051A40222E4A1AEDDF4940BCA24A8391051A4023BEB8F9EBDF4940,,,,,NULL_voltage
1,8181,power_line,{84174587},,0105000020E61000000100000001020000000200000038E1B9522A6C1E4084E794360BAE49409E41E845926D1E40B5D084DCFBAD4940,,,,,NULL_voltage
1,8182,power_line,{91333396},,0105000020E6100000010000000102000000020000003E50B868126E2740A42A5C4535D74940C9827813326E274053CE177B2FD74940,,,,,NULL_voltage
1,8183,power_line,{233105668},,0105000020E6100000010000000102000000020000005E3A9CAF487628406302C81A3F914A401B1D46F762762840F43BA81F2F914A40,,,,,NULL_voltage
1,8184,power_line,{136396185},,0105000020E610000001000000010200000003000000C4A11232EB3422405055A1815879484004013274EC34224026EA605859794840D3286E26F0342240B350210D5D794840,,,,,NULL_voltage
1,8185,power_line,{94741760},,0105000020E61000000100000001020000000200000018DCC5EA458725409A733ADA82F44A4017026F377786254034AC9800B2F44A40,,,,,NULL_voltage
1,8186,power_line,{178148989},,0105000020E6100000010000000102000000020000008702113D84242D407F50172994B54940545D1B857F242D40A74D8BB097B54940,,,,,NULL_voltage
1,8187,power_line,{191254577},,0105000020E610000001000000010200000002000000600DABD3DC551A40ED889EEF028749406B91FEA897591A40A2270A99D0864940,,,,,NULL_voltage
1,8188,power_line,{199884384},,0105000020E610000001000000010200000002000000E6327F96F8D5264072CFA91A73AB484025FF380609D6264091A6D5EB71AB4840,,,,,NULL_voltage
1,8189,power_line,{203410975},,0105000020E610000001000000010200000002000000722C3938228926401D1318A18EBF4840B27966930D89264096A01A8A96BF4840,,,,,NULL_voltage
1,8190,power_line,{204058513},,0105000020E61000000100000001020000000200000025A1E35938FF1E40227365506D18484092A053EB58001F40BF4DDAAF96174840,,,,,NULL_voltage
1,8191,power_line,{317558135},,0105000020E610000001000000010200000002000000C60BD8C4B8752340FD080D0E402B4840E1534A19827523406BFFB91E3B2B4840,,,,,NULL_voltage
1,8192,power_line,{361682622},,0105000020E61000000100000001020000000200000035E895FC998B2240DFEB5A31122F484096FC998B098B2240C0F7EDDA942E4840,,,,,NULL_voltage
1,8193,power_line,{366838962},,0105000020E610000001000000010200000002000000BEB32C4E6B952340455DB57C6E324840011B1021AE942340111FD8F15F324840,,,,,NULL_voltage
1,8194,power_line,{25092904},,0105000020E610000001000000010200000002000000717BDD7DE9001C40C2F3F7F7BEC14940155223997A021C4061F3BBFAC2C14940,,,,,NULL_voltage
1,8195,power_line,{309723364},,0105000020E61000000100000001020000000200000011C7BAB88D562640715AF0A2AF9349407F0F03024258264089693A96D2934940,,,,,NULL_voltage
1,8196,power_line,{311915695},,0105000020E61000000100000001020000000E000000EDC506C1994A214029E0E8746AFC484093AD2EA7044C214050E3DEFC86FC4840F2A3D068614D21402B0D4636A1FC48407ABA04F1CB4E2140E717CA2EBDFC4840EAB875920850214047CA1649BBFC484059576023A45121400DA43094B8FC4840554BDF104F532140C71748ABB5FC484087191A4F04552140930ABEC4B3FC4840E1945E40D4562140AC58FCA6B0FC48405DD83FF44957214083C5E1CCAFFC4840F22900C633582140E3016553AEFC4840770B6EB59859214073384E65ACFC48401AA0D91AB65A21405096B5A8AAFC4840F5609C09975B2140FB264D83A2FC4840,,,,,NULL_voltage
1,8197,power_line,{373648091},,0105000020E610000001000000010200000002000000A7C8C62874D7234023403C0103CC4940F823A01DCBDA234069C1300510CC4940,,,,,NULL_voltage
1,8198,power_line,{379071421},,0105000020E610000001000000010200000002000000DA2E7E6484992340637A67599CBE494038FE9F1E369423409862580FA9BE4940,,,,,NULL_voltage
1,8199,power_line,{140386219},,0105000020E610000001000000010200000003000000C5EE963F3AC02D40A700BD152E784940B45252712DC02D403ECC03FD2A7849401B7B40EAC0BF2D40027DC7951F784940,,,,,NULL_voltage
1,8200,power_line,{143100831},,0105000020E61000000100000001020000000200000007DC4EB6DCB02540C43F11305FB04840F10F00C1C1AF2540187728AF3AB04840,,,,,NULL_voltage
1,8201,power_line,{178148988},,0105000020E61000000100000001020000000200000046ED7E15E0232D4070873C388EB5494031A9EB9ADA232D401B35BADE91B54940,,,,,NULL_voltage
1,8202,power_line,{208748693},,0105000020E6100000010000000102000000020000003C7CE3B55C072340F252A0055700484022C3CF2456072340EA4141295A004840,,,,,NULL_voltage
