result_id,view_id,branch_id,f_bus,t_bus,br_r,br_x,br_b,rate_a,rate_b,rate_c,tap,shift,br_status,link_type,branch_voltage,cables,frequency,geom
1,1,4422,7906,7907,0,0.00225,0,6000,,,1,0,1,transformer,,,,0105000020E61000000100000001020000000200000032A490CBF66D2840DBDB2B66D70C4B4032A490CBF66D2840DBDB2B66D70C4B40
1,2,4469,8216,8217,0,0.0015,0,9000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000F863BA5394031F400C144DB0B70C4840F863BA5394031F400C144DB0B70C4840
1,3,4429,8145,8146,0,0.0009,0,15000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000ED4749216EA020402DA9255628814840ED4749216EA020402DA9255628814840
1,4,4472,7929,7930,0,0.00225,0,6000,,,1,0,1,transformer,,,,0105000020E61000000100000001020000000200000049E3F251929D2040A1B40DCA3D2C4A4049E3F251929D2040A1B40DCA3D2C4A40
1,5,4473,8104,8105,0,0.00225,0,6000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000C10E7F3D3BD9224084FAC18B18084840C10E7F3D3BD9224084FAC18B18084840
1,6,4474,7962,7963,0,0.00122727,0,11000,,,1,0,1,transformer,,,,0105000020E6100000010000000102000000020000002AA1AD4A4FFC2140621972BBE7AB49402AA1AD4A4FFC2140621972BBE7AB4940
1,7,4475,7972,7973,0,0.00103846,0,13000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000FB233CDADBEA21408A0562E4920A4940FB233CDADBEA21408A0562E4920A4940
1,8,4431,7698,7699,0,0.00675,0,2000,,,1,0,1,transformer,,,,0105000020E6100000010000000102000000020000003886B57EB5AA1D40C4FE8BAF80BA49403886B57EB5AA1D40C4FE8BAF80BA4940
1,9,4432,7690,7691,0,0.0009,0,15000,,,1,0,1,transformer,,,,0105000020E6100000010000000102000000020000006FA54E59EBE31B40D634C044D96549406FA54E59EBE31B40D634C044D9654940
1,10,4433,7744,7745,0,0.0015,0,9000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000CA08EC5499512140798EAC39F3FF4940CA08EC5499512140798EAC39F3FF4940
1,11,4479,7792,7793,0,0.00225,0,6000,,,1,0,1,transformer,,,,0105000020E610000001000000010200000002000000CD552865F5342A40E23DC67859554840CD552865F5342A40E23DC67859554840
1,12,4481,8118,8119,0,0.000613636,0,22000,,,1,0,1,transformer,,,,0105000020E61000000100000001020000000200000060E1C0CDE63E264055EC3E40DC7F494060E1C0CDE63E264055EC3E40DC7F4940
