result_id,view_id,bus_i,bus_type,pd,qd,gs,bs,bus_area,vm,va,base_kv,zone,vmax,vmin,osm_substation_id,cntr_id,frequency,geom,osm_name
2,1541,8102,1,,,,,1,1,0,380.0000000000000000,1,,,109582315,DE,50,0101000020E6100000FA5168B4B0F42040B6A7E49CD8B64A40,Kernkraftwerk Unterweser
2,1542,8101,1,,,,,1,1,0,220.0000000000000000,1,,,109582315,DE,50,0101000020E6100000FA5168B4B0F42040B6A7E49CD8B64A40,Kernkraftwerk Unterweser
2,1543,7919,1,,,,,1,1,0,220.0000000000000000,1,,,32076853,DE,50,0101000020E6100000098791CE0CF3204096E6F10ADEB64A40,Unterweser
2,1544,8202,1,,,,,1,1,0,220.0000000000000000,1,,,173178563,DE,50,0101000020E6100000C5E043860D1B20407F385F9CBCAA4A40,Conneforde 110/220 kV
2,1545,7742,1,,,,,1,1,0,220.0000000000000000,1,,,23837631,DE,50,0101000020E610000084049B58B11B2040DC192CE588AA4A40,Conneforde
2,1546,7946,1,,,,,1,1,0,220.0000000000000000,1,,,34835258,DE,50,0101000020E610000037B7C6C29EE51C40C3F6BF69CAAC4A40,Emden-Borßum
2,1547,8095,1,,,,,1,1,0,220.0000000000000000,1,,,104878489,DE,50,0101000020E610000071893787FFD21C40C8176C59B0AB4A40,Umspannwerk Kraftwerk Emden
2,1548,8015,1,,,,,1,1,0,220.0000000000000000,1,,,50643382,DE,50,0101000020E6100000946342FBCA292040A83068D5E76D4A40,Cloppenburg 220 kV
2,1549,7740,1,,,,,1,1,0,220.0000000000000000,1,,,23744346,DE,50,0101000020E61000001544C1F9CA3E2040BACD90FDBEC74A40,Umspannwerk Maade
2,1550,7831,1,,,,,1,1,0,220.0000000000000000,1,,,26455019,DE,50,0101000020E61000008A776366DA2B20405E24CBF98BCD4A40,Voslapp
2,1551,7880,1,,,,,1,1,0,220.0000000000000000,1,,,29420322,DE,50,0101000020E6100000333659CBBF1E2040E1999FCC62CF4A40,Inhausen
2,1552,8183,1,,,,,1,1,0,220.0000000000000000,1,,,157421330,DE,50,0101000020E61000004EDF045F8B3E2040DD34D0316DC84A40,Atlantic
2,1553,8184,1,,,,,1,1,0,220.0000000000000000,1,,,157421333,DE,50,0101000020E6100000BEBC904EB14B20403B38614E22C84A40,Umspannwerk Kraftwerk Wilhelmshaven
2,1554,3244,1,,,,,1,1,0,380.0000000000000000,1,,,0,NL,50,0101000020E61000001709B7C6B1CF1B40E4F2C418FD8F4A40,
2,1555,8129,1,,,,,1,1,0,380.0000000000000000,1,,,142487746,DE,50,0101000020E6100000F6D6A6710E081D40B62017FD957D4A40,Dörpen West
2,1556,8012,1,,,,,1,1,0,380.0000000000000000,1,,,49299111,DE,50,0101000020E6100000E4991372A8C71C40C1F9411E586F4A40,Niederlangen
2,1557,8219,1,,,,,1,1,0,380.0000000000000000,1,,,206289192,DE,50,0101000020E6100000E0FA583FCE1B1D4054200F416A604A40,Meppen
2,1558,8113,1,,,,,1,1,0,220.0000000000000000,1,,,118928165,DE,50,0101000020E610000061781B777A451D409E26ABD80B3C4A40,Benteler Stahlwerk
2,1559,7873,1,,,,,1,1,0,220.0000000000000000,1,,,29282738,DE,50,0101000020E61000007567E31E16B81C40C8C55FED1DC64940,Herne
2,1560,8061,1,,,,,1,1,0,220.0000000000000000,1,,,87767090,DE,50,0101000020E61000005772FDB21DFD1B402E88B97503A04940,Station Mettmann
2,1561,8090,1,,,,,1,1,0,220.0000000000000000,1,,,95434457,DE,50,0101000020E61000000FEDA99B19731A403EA7DA2A99844940,KW Neurath
